subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,3edges,31,17.148,10.559,1.3119,0.1123,False
3,Disputed + Kamāl-ontological + Kamāl-ontological,complete,3,1.2862,0.9785,1.7514,0.1132,False
3,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,2edges,6,2.7107,2.168,1.5172,0.1146,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,complete,2,0.5642,0.7841,1.831,0.1154,False
4,Disputed + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),5edges,6,2.644,2.3949,1.4013,0.1219,False
4,Disputed + Jamāl + Jamāl + Jamāl,complete,1,0.1339,0.3698,2.3419,0.1238,False
4,Disputed + Jamāl + Kamāl-ontological + Kamāl-ontological,5edges,8,4.2556,2.7659,1.3538,0.1272,False
4,Jalāl + Jamāl + Jamāl + Jamāl,4edges,8,3.4718,3.5055,1.2917,0.1286,False
3,Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,complete,2,0.6059,0.8082,1.7249,0.1291,False
4,Disputed + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,complete,1,0.1446,0.3923,2.1805,0.1304,False
4,Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,5edges,1,0.1721,0.4863,1.7025,0.1331,False
4,Disputed + Jalāl + Jalāl + Kamāl-ontological,3edges,1295,1140.2346,128.8278,1.2013,0.1347,False
4,Jamāl + Kamāl-ontological + Kamāl-ontological + Kamāl-ontological,4edges,1,0.2209,0.664,1.1733,0.1386,False
4,Disputed + Jamāl + Kamāl-ontological + Kamāl-ontological,complete,1,0.1552,0.4016,2.1034,0.1407,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,1,0.1569,0.407,2.0713,0.142,False
3,Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,complete,1,0.1587,0.4083,2.0605,0.1431,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,4edges,15,11.0063,3.498,1.1417,0.146,False
4,Jamāl + Jamāl + Kamāl-epistemic + Kamāl-ontological,3edges,89,66.5843,21.0242,1.0662,0.1483,False
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,3edges,67,49.4507,16.4715,1.0654,0.1487,False
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,6,2.4893,2.8648,1.2254,0.1498,False
3,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,1,0.1694,0.4211,1.9726,0.1531,False
3,Jamāl + Kamāl-ontological + Kamāl-ontological,complete,1,0.1718,0.4218,1.9637,0.1548,False
4,Jalāl + Jamāl + Kamāl-ontological + Kamāl-ontological,4edges,7,3.3707,3.0843,1.1767,0.1553,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,complete,1,0.1796,0.4317,1.9005,0.1615,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,5edges,11,7.269,3.4824,1.0714,0.1726,False
3,Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,complete,1,0.1945,0.448,1.7981,0.1742,False
4,Disputed + Jalāl + Jamāl + Jamāl,complete,2,0.7584,0.8972,1.3838,0.1743,False
4,Disputed + Jamāl + Jamāl + Kamāl-ontological,4edges,177,148.9607,30.0025,0.9346,0.1744,False
3,Jamāl + Kamāl-epistemic + Kamāl-epistemic,2edges,22,16.6506,5.3753,0.9952,0.1815,False
3,Jamāl + Kamāl-ontological + Kamāl-ontological,2edges,8,4.8916,2.938,1.058,0.1815,False
4,Disputed + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,118,101.6964,19.6493,0.8297,0.1933,False
4,Jamāl + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,1,0.4197,1.0784,0.5381,0.1984,False
3,Jalāl + Jamāl + Jamāl,complete,2,0.8509,0.9438,1.2176,0.2067,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,47,37.2701,12.3742,0.7863,0.2087,False
4,Disputed + Jalāl + Jalāl + Jamāl,4edges,370,336.3982,41.4158,0.8113,0.2123,False
4,Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,5,2.6726,2.7836,0.8361,0.2204,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,5edges,1,0.3198,0.7116,0.9559,0.2212,False
