subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
3,Jalāl + Jalāl + Kamāl-ontological,2edges,10,11.9739,4.7932,-0.4118,0.6754,False
4,Disputed + Jamāl + Kamāl-ontological + Kamāl-ontological,3edges,292,312.2754,53.8362,-0.3766,0.6799,False
3,Jalāl + Kamāl-epistemic + Kamāl-epistemic,complete,1,1.2051,1.1516,-0.1781,0.6806,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic,5edges,1,1.7053,1.8007,-0.3917,0.6813,False
3,Disputed + Jamāl + Kamāl-epistemic,2edges,119,121.8043,9.159,-0.3062,0.6832,False
3,Jalāl + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,2,3.1029,2.5505,-0.4324,0.685,False
4,Jamāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,1,2.6965,3.1203,-0.5437,0.6854,False
4,Jamāl + Jamāl + Jamāl + Kamāl-epistemic,4edges,2,4.5654,4.2994,-0.5967,0.6889,False
4,Disputed + Jamāl + Jamāl + Kamāl-ontological,5edges,8,9.9967,4.4158,-0.4522,0.6929,False
3,Jalāl + Jalāl + Kamāl-epistemic,complete,1,1.2278,1.1407,-0.1997,0.6935,False
4,Jalāl + Jamāl + Jamāl + Kamāl-ontological,4edges,5,7.8591,5.2221,-0.5475,0.7042,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-ontological,complete,1,1.3014,1.19,-0.2533,0.7089,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-ontological,4edges,164,179.7048,28.0208,-0.5605,0.7125,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,25,28.1478,6.5787,-0.4785,0.7164,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),5edges,4,5.3385,2.96,-0.4522,0.7164,False
3,Jamāl + Kamāl-epistemic + Kamāl-ontological,complete,1,1.4194,1.2362,-0.3393,0.7424,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic,4edges,183,205.6727,34.1779,-0.6634,0.7487,False
3,Jalāl + Jalāl + Jalāl,2edges,4,6.534,3.9503,-0.6415,0.7615,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-ontological,5edges,1,2.0919,1.9531,-0.5591,0.7635,False
4,Disputed + Kamāl-ontological + Kamāl-ontological + Kamāl-ontological,3edges,20,24.5105,7.3732,-0.6117,0.7665,False
3,Jalāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,4,5.9263,3.0695,-0.6276,0.7725,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,58,69.157,18.5694,-0.6008,0.7814,False
4,Jalāl + Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,9,17.5818,10.5931,-0.8101,0.7844,False
3,Jalāl + Jalāl + Jamāl,2edges,20,24.5051,6.1858,-0.7283,0.7876,False
4,Disputed + Jalāl + Jamāl + Kamāl-ontological,5edges,18,22.8895,6.5305,-0.7487,0.7923,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,8,10.7249,3.9312,-0.6931,0.7977,False
3,Jamāl + Jamāl + Kamāl-ontological,2edges,8,11.6174,4.7111,-0.7678,0.8046,False
3,Disputed + Kamāl-epistemic + Kamāl-epistemic,2edges,15,16.4901,2.4345,-0.6121,0.8182,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic,3edges,244,276.6406,39.5212,-0.8259,0.8232,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,75,89.253,17.3331,-0.8223,0.8236,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-ontological,5edges,16,21.2658,6.2257,-0.8458,0.8252,False
3,Disputed + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,5,5.3726,1.1089,-0.336,0.8254,False
4,Disputed + Jamāl + Jamāl + Kamāl-epistemic,5edges,14,19.978,6.7578,-0.8846,0.8306,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic,5edges,10,14.3513,5.0492,-0.8618,0.8352,False
4,Disputed + Jamāl + Jamāl + Kamāl-epistemic,3edges,898,1014.7905,111.2806,-1.0495,0.8469,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,3edges,32,47.7751,15.493,-1.0182,0.8583,False
4,Jalāl + Jalāl + Jalāl + Kamāl-epistemic,3edges,20,35.8921,16.1336,-0.985,0.8593,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),5edges,3,5.9887,3.1749,-0.9414,0.8607,False
4,Jalāl + Jamāl + Jamāl + Jamāl,3edges,20,35.8246,15.5432,-1.0181,0.8642,False
3,Disputed + Jamāl + Kamāl-epistemic,complete,9,11.1892,2.4591,-0.8902,0.867,False
4,Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,9,19.0274,9.5658,-1.0483,0.8686,False
4,Jalāl + Jalāl + Jalāl + Jamāl,3edges,19,37.0735,16.6794,-1.0836,0.8798,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,3edges,13,18.9188,5.5626,-1.064,0.8816,False
3,Disputed + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,1,1.6827,1.0186,-0.6702,0.8859,False
4,Disputed + Jamāl + Jamāl + Kamāl-ontological,3edges,899,1053.0565,121.9087,-1.2637,0.8971,False
3,Jalāl + Kamāl-epistemic + Kamāl-epistemic,2edges,10,16.0818,5.2295,-1.163,0.9057,False
4,Jalāl + Jalāl + Jamāl + Kamāl-epistemic,4edges,10,21.4447,9.0979,-1.258,0.9107,False
3,Jalāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,3,6.833,3.2727,-1.1712,0.9127,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic,complete,1,2.6126,1.6941,-0.9519,0.913,False
3,Jalāl + Jamāl + Kamāl-ontological,2edges,18,26.4938,6.7465,-1.259,0.9132,False
3,Jalāl + Kamāl-epistemic + Kamāl-ontological,2edges,16,24.0049,6.4269,-1.2455,0.9169,False
4,Disputed + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,115,144.2933,27.2839,-1.0736,0.9242,False
3,Disputed + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,16,17.4924,2.5813,-0.5781,0.9327,False
3,Jalāl + Jamāl + Kamāl-epistemic,complete,1,2.8502,1.7499,-1.0573,0.9335,False
4,Jalāl + Jalāl + Kamāl-epistemic + Kamāl-ontological,4edges,3,11.3058,6.3562,-1.3067,0.9411,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-ontological,3edges,100,145.5927,30.3972,-1.4999,0.9433,False
3,Disputed + Jalāl + Kamāl-ontological,complete,4,6.5799,1.9864,-1.2988,0.9448,False
4,Disputed + Jalāl + Jamāl + Jamāl,3edges,2915,3309.6866,240.2937,-1.6425,0.9539,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-ontological,4edges,10,25.0394,9.4466,-1.592,0.9611,False
4,Disputed + Jalāl + Jamāl + Kamāl-ontological,4edges,229,310.7193,39.0754,-2.0913,0.977,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),3edges,12,36.0989,13.725,-1.7558,0.9771,False
4,Disputed + Jamāl + Jamāl + Jamāl,3edges,684,965.0834,143.6911,-1.9562,0.9845,False
3,Disputed + Jamāl + Jamāl,2edges,144,174.9558,16.8728,-1.8347,0.9854,False
4,Jalāl + Jamāl + Jamāl + Kamāl-epistemic,4edges,4,20.7415,9.253,-1.8093,0.9868,False
3,Disputed + Jalāl + Kamāl-epistemic,complete,6,10.647,2.3575,-1.9712,0.987,False
4,Jalāl + Jalāl + Jamāl + Kamāl-epistemic,3edges,75,135.5177,31.4464,-1.9245,0.9874,False
4,Jalāl + Jamāl + Jamāl + Kamāl-ontological,3edges,28,66.8985,19.9324,-1.9515,0.9888,False
4,Jalāl + Jalāl + Jamāl + Jamāl,3edges,23,62.2349,20.9621,-1.8717,0.9903,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic,3edges,46,100.7854,23.187,-2.3628,0.9957,False
4,Disputed + Jalāl + Jamāl + Jamāl,5edges,7,20.4881,6.1822,-2.1818,0.9961,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic,4edges,305,436.6871,43.7767,-3.0082,0.9968,False
4,Disputed + Jalāl + Jamāl + Kamāl-epistemic,5edges,20,43.5761,9.3486,-2.5219,0.9969,False
3,Disputed + Jalāl + Jamāl,complete,7,13.6389,2.7244,-2.4369,0.997,False
3,Jalāl + Jamāl + Jamāl,2edges,8,24.1839,6.4241,-2.5193,0.999,False
3,Jalāl + Jamāl + Kamāl-epistemic,2edges,22,50.1565,9.5163,-2.9588,0.9996,False
4,Jalāl + Jamāl + Jamāl + Kamāl-epistemic,3edges,41,137.6413,32.5359,-2.9703,1.0,False
