name_1_serial,name_1_translit,name_2_serial,name_2_translit,raw_frequency,npmi,npmi_ci_lower,npmi_ci_upper,ci_status,hapax_flag
1,Allāh,53,Al-Wakīl,7,-0.0084,-0.1049,0.0587,OK,False
20,Al-'Alīm,33,Al-Ḥalīm,2,0.1387,0.0084,0.302,OK,False
1,Allāh,29,Al-Ḥakam,10,-0.0681,-0.1637,0.0017,OK,False
29,Al-Ḥakam,30,Al-'Adl,1,0.2474,0.1895,0.4804,OK,True
37,Al-'Alī,53,Al-Wakīl,9,0.1289,0.0417,0.1824,OK,False
1,Allāh,41,Al-Ḥasīb,1,0.0611,0.0581,0.0737,OK,True
37,Al-'Alī,41,Al-Ḥasīb,1,0.1295,0.1244,0.1555,OK,True
1,Allāh,89,Al-Ghanī,12,0.0151,-0.0568,0.0682,OK,False
37,Al-'Alī,89,Al-Ghanī,2,-0.1594,-0.2627,-0.0356,OK,False
74,Al-Awwal,89,Al-Ghanī,1,0.0835,0.0353,0.2897,OK,True
34,Al-'Aẓīm,7,Al-Mu'min,1,-0.2189,-0.2442,-0.0666,OK,True
37,Al-'Alī,80,Al-Barr,4,-0.0945,-0.2466,0.0123,OK,False
35,Al-Ghafūr,37,Al-'Alī,4,-0.2633,-0.3909,-0.1743,OK,False
29,Al-Ḥakam,87,Al-Muqsiṭ,1,0.4646,0.377,0.6843,OK,True
1,Allāh,87,Al-Muqsiṭ,3,0.0709,0.0594,0.0818,OK,False
29,Al-Ḥakam,7,Al-Mu'min,1,-0.0534,-0.095,0.1269,OK,True
52,Al-Ḥaqq,8,Al-Muhaymin,1,0.2346,0.1457,0.3766,OK,True
1,Allāh,8,Al-Muhaymin,2,0.067,0.0587,0.0784,OK,False
74,Al-Awwal,78,Al-Wālī,2,0.0308,-0.0832,0.186,OK,False
30,Al-'Adl,68,Al-Aḥad,1,0.1307,0.0767,0.3409,OK,True
37,Al-'Alī,74,Al-Awwal,6,-0.259,-0.3735,-0.1782,OK,False
37,Al-'Alī,44,Al-Raqīb,1,-0.0081,-0.0933,0.1444,OK,True
44,Al-Raqīb,51,Al-Shahīd,1,0.5078,0.4138,0.7332,OK,True
30,Al-'Adl,94,Al-Nūr,1,0.2583,0.1996,0.4969,OK,True
32,Al-Khabīr,47,Al-Ḥakīm,4,0.221,0.0191,0.3644,OK,False
1,Allāh,70,Al-Qādir,2,0.0114,-0.1064,0.0759,OK,False
37,Al-'Alī,70,Al-Qādir,3,0.1501,0.1266,0.1714,OK,False
30,Al-'Adl,56,Al-Walī,1,0.166,0.1124,0.3875,OK,True
4,Al-Malik,52,Al-Ḥaqq,4,-0.0311,-0.1992,0.0867,OK,False
20,Al-'Alīm,9,Al-'Azīz,6,0.0332,-0.1286,0.1455,OK,False
31,Al-Laṭīf,32,Al-Khabīr,5,0.6514,0.4646,0.758,OK,False
74,Al-Awwal,75,Al-Ākhir,2,0.1308,0.0018,0.2998,OK,False
7,Al-Mu'min,74,Al-Awwal,3,-0.0843,-0.2203,0.0404,OK,False
37,Al-'Alī,94,Al-Nūr,7,-0.0184,-0.1454,0.0688,OK,False
30,Al-'Adl,52,Al-Ḥaqq,2,0.0586,-0.0639,0.2163,OK,False
1,Allāh,95,Al-Hādī,2,0.0114,-0.1101,0.0759,OK,False
43,Al-Karīm,7,Al-Mu'min,2,0.0424,-0.0747,0.1974,OK,False
52,Al-Ḥaqq,7,Al-Mu'min,5,-0.1661,-0.3236,-0.0703,OK,False
27,Al-Samī',63,Al-Ḥayy,1,0.1512,0.1024,0.3714,OK,True
20,Al-'Alīm,63,Al-Ḥayy,1,-0.0048,-0.0463,0.1847,OK,True
1,Allāh,54,Al-Qawī,8,-0.0237,-0.1231,0.045,OK,False
20,Al-'Alīm,74,Al-Awwal,3,-0.0544,-0.1961,0.075,OK,False
32,Al-Khabīr,7,Al-Mu'min,1,-0.0933,-0.1284,0.0848,OK,True
56,Al-Walī,89,Al-Ghanī,1,0.1588,0.1103,0.3756,OK,True
1,Allāh,81,Al-Tawwāb,4,-0.031,-0.1624,0.0573,OK,False
37,Al-'Alī,84,Al-Ra'ūf,3,0.0495,-0.0936,0.151,OK,False
3,Al-Raḥīm,84,Al-Ra'ūf,4,0.454,0.2688,0.5612,OK,False
7,Al-Mu'min,9,Al-'Azīz,2,-0.1506,-0.2424,-0.0169,OK,False
84,Al-Ra'ūf,9,Al-'Azīz,1,0.2069,0.1377,0.4228,OK,True
3,Al-Raḥīm,9,Al-'Azīz,14,0.2802,0.1546,0.3768,OK,False
7,Al-Mu'min,84,Al-Ra'ūf,1,0.1201,0.0532,0.3252,OK,True
3,Al-Raḥīm,7,Al-Mu'min,1,-0.2295,-0.255,-0.0835,OK,True
20,Al-'Alīm,52,Al-Ḥaqq,3,-0.1981,-0.3166,-0.0877,OK,False
27,Al-Samī',28,Al-Baṣīr,9,0.4683,0.2982,0.5893,OK,False
29,Al-Ḥakam,52,Al-Ḥaqq,1,-0.0765,-0.116,0.1067,OK,True
37,Al-'Alī,54,Al-Qawī,1,-0.2096,-0.2558,-0.0564,OK,True
37,Al-'Alī,39,Al-Ḥafīẓ,5,0.1094,-0.0096,0.1715,OK,False
54,Al-Qawī,9,Al-'Azīz,6,0.408,0.2225,0.5302,OK,False
1,Allāh,49,Al-Majīd,1,-0.1124,-0.1842,0.0629,OK,True
37,Al-'Alī,57,Al-Ḥamīd,1,-0.2176,-0.2619,-0.0625,OK,True
37,Al-'Alī,49,Al-Majīd,1,-0.0441,-0.1159,0.1331,OK,True
49,Al-Majīd,57,Al-Ḥamīd,1,0.4793,0.3945,0.7238,OK,True
1,Allāh,99,Al-Rashīd,1,-0.0256,-0.1128,0.0717,OK,True
33,Al-Ḥalīm,99,Al-Rashīd,1,0.5828,0.4874,0.7872,OK,True
3,Al-Raḥīm,48,Al-Wadūd,1,0.3392,0.2525,0.4985,OK,True
1,Allāh,43,Al-Karīm,4,-0.191,-0.3261,-0.0951,OK,False
4,Al-Malik,43,Al-Karīm,2,0.1901,0.0567,0.3594,OK,False
1,Allāh,16,Al-Qahhār,5,0.0766,0.0624,0.0869,OK,False
52,Al-Ḥaqq,9,Al-'Azīz,4,-0.0893,-0.249,0.0224,OK,False
20,Al-'Alīm,39,Al-Ḥafīẓ,1,0.1266,0.0666,0.3429,OK,True
68,Al-Aḥad,9,Al-'Azīz,1,-0.0834,-0.1149,0.0951,OK,True
20,Al-'Alīm,31,Al-Laṭīf,1,0.1266,0.0629,0.3297,OK,True
31,Al-Laṭīf,47,Al-Ḥakīm,1,0.2032,0.1372,0.4196,OK,True
4,Al-Malik,56,Al-Walī,2,0.0951,-0.0251,0.2558,OK,False
52,Al-Ḥaqq,56,Al-Walī,1,-0.1579,-0.1881,0.0039,OK,True
28,Al-Baṣīr,4,Al-Malik,1,0.0175,-0.0204,0.2099,OK,True
28,Al-Baṣīr,94,Al-Nūr,1,0.1512,0.1005,0.3662,OK,True
2,Al-Raḥmān,37,Al-'Alī,9,-0.1371,-0.2409,-0.0567,OK,False
9,Al-'Azīz,94,Al-Nūr,1,0.0443,0.0014,0.2467,OK,True
57,Al-Ḥamīd,94,Al-Nūr,1,0.2659,0.2043,0.4995,OK,True
57,Al-Ḥamīd,9,Al-'Azīz,3,0.257,0.0721,0.4079,OK,False
1,Allāh,36,Al-Shakūr,5,-0.0321,-0.1632,0.049,OK,False
29,Al-Ḥakam,37,Al-'Alī,2,-0.1989,-0.2955,-0.0776,OK,False
30,Al-'Adl,37,Al-'Alī,1,-0.2252,-0.2715,-0.0761,OK,True
53,Al-Wakīl,80,Al-Barr,1,0.3078,0.2438,0.5565,OK,True
1,Allāh,71,Al-Muqtadir,1,-0.1124,-0.1846,0.0625,OK,True
37,Al-'Alī,71,Al-Muqtadir,2,0.0468,-0.0731,0.1528,OK,False
37,Al-'Alī,78,Al-Wālī,2,-0.315,-0.3943,-0.2092,OK,False
2,Al-Raḥmān,4,Al-Malik,3,0.131,-0.0353,0.2843,OK,False
56,Al-Walī,75,Al-Ākhir,1,0.1081,0.0618,0.3117,OK,True
2,Al-Raḥmān,52,Al-Ḥaqq,2,-0.1049,-0.2048,0.0308,OK,False
35,Al-Ghafūr,83,Al-'Afūw,2,0.4299,0.2733,0.5824,OK,False
1,Allāh,31,Al-Laṭīf,4,-0.0108,-0.1403,0.0739,OK,False
57,Al-Ḥamīd,89,Al-Ghanī,5,0.6168,0.3831,0.7554,OK,False
52,Al-Ḥaqq,54,Al-Qawī,1,-0.0176,-0.0678,0.1702,OK,True
43,Al-Karīm,52,Al-Ḥaqq,1,-0.0711,-0.1123,0.1096,OK,True
47,Al-Ḥakīm,81,Al-Tawwāb,1,0.1865,0.1215,0.4028,OK,True
27,Al-Samī',68,Al-Aḥad,1,0.0116,-0.0251,0.2055,OK,True
20,Al-'Alīm,68,Al-Aḥad,1,-0.1444,-0.1737,0.019,OK,True
20,Al-'Alīm,89,Al-Ghanī,1,0.0084,-0.0371,0.1966,OK,True
7,Al-Mu'min,88,Al-Jāmi',1,0.2069,0.1298,0.3894,OK,True
37,Al-'Alī,88,Al-Jāmi',1,-0.0081,-0.082,0.1455,OK,True
43,Al-Karīm,89,Al-Ghanī,1,0.2456,0.1895,0.4727,OK,True
54,Al-Qawī,68,Al-Aḥad,1,0.1463,0.0944,0.3608,OK,True
20,Al-'Alīm,32,Al-Khabīr,3,0.0812,-0.0808,0.2191,OK,False
54,Al-Qawī,7,Al-Mu'min,1,0.0054,-0.0452,0.2042,OK,True
7,Al-Mu'min,94,Al-Nūr,2,0.0485,-0.068,0.2034,OK,False
4,Al-Malik,7,Al-Mu'min,2,-0.0979,-0.1958,0.0421,OK,False
52,Al-Ḥaqq,57,Al-Ḥamīd,1,-0.0257,-0.0718,0.1677,OK,True
38,Al-Kabīr,52,Al-Ḥaqq,1,-0.1001,-0.1381,0.0721,OK,True
19,Al-Fattāḥ,52,Al-Ḥaqq,1,0.3214,0.3083,0.3869,OK,True
19,Al-Fattāḥ,20,Al-'Alīm,1,0.3702,0.3541,0.4464,OK,True
47,Al-Ḥakīm,52,Al-Ḥaqq,1,-0.2318,-0.2557,-0.08,OK,True
35,Al-Ghafūr,9,Al-'Azīz,2,-0.0029,-0.1122,0.1482,OK,False
35,Al-Ghafūr,36,Al-Shakūr,2,0.3043,0.1528,0.4861,OK,False
28,Al-Baṣīr,52,Al-Ḥaqq,1,-0.1404,-0.1727,0.0226,OK,True
33,Al-Ḥalīm,68,Al-Aḥad,1,0.155,0.0995,0.3774,OK,True
2,Al-Raḥmān,43,Al-Karīm,1,0.1035,0.0585,0.3106,OK,True
2,Al-Raḥmān,89,Al-Ghanī,1,0.1342,0.087,0.3548,OK,True
17,Al-Wahhāb,9,Al-'Azīz,1,0.2937,0.2112,0.4876,OK,True
1,Allāh,104,Al-Kāfī,1,0.0611,0.0582,0.0742,OK,True
4,Al-Malik,74,Al-Awwal,1,-0.0753,-0.1071,0.1054,OK,True
11,Al-Mutakabbir,37,Al-'Alī,2,-0.03,-0.1497,0.1057,OK,False
1,Allāh,11,Al-Mutakabbir,3,-0.0521,-0.1832,0.0557,OK,False
16,Al-Qahhār,4,Al-Malik,1,0.2779,0.2063,0.5036,OK,True
1,Allāh,10,Al-Jabbār,2,-0.1048,-0.2154,0.0232,OK,False
10,Al-Jabbār,37,Al-'Alī,1,-0.1141,-0.1767,0.0506,OK,True
10,Al-Jabbār,11,Al-Mutakabbir,2,0.6565,0.4681,0.8521,OK,False
47,Al-Ḥakīm,57,Al-Ḥamīd,1,0.0997,0.0501,0.3092,OK,True
51,Al-Shahīd,52,Al-Ḥaqq,1,-0.0333,-0.0796,0.1517,OK,True
78,Al-Wālī,9,Al-'Azīz,1,-0.0727,-0.1053,0.1012,OK,True
47,Al-Ḥakīm,78,Al-Wālī,1,-0.0571,-0.0903,0.1216,OK,True
1,Allāh,39,Al-Ḥafīẓ,1,-0.1825,-0.2417,-0.0268,OK,True
31,Al-Laṭīf,54,Al-Qawī,1,0.4174,0.3367,0.6741,OK,True
31,Al-Laṭīf,9,Al-'Azīz,1,0.1876,0.1245,0.4081,OK,True
28,Al-Baṣīr,32,Al-Khabīr,1,0.1005,0.0555,0.3086,OK,True
56,Al-Walī,57,Al-Ḥamīd,1,0.1736,0.1208,0.3951,OK,True
36,Al-Shakūr,37,Al-'Alī,1,-0.1588,-0.2134,0.0035,OK,True
2,Al-Raḥmān,68,Al-Aḥad,1,-0.0186,-0.056,0.1712,OK,True
2,Al-Raḥmān,74,Al-Awwal,1,-0.0586,-0.092,0.1185,OK,True
43,Al-Karīm,9,Al-'Azīz,1,0.0387,-0.0027,0.2348,OK,True
52,Al-Ḥaqq,74,Al-Awwal,1,-0.2333,-0.2577,-0.085,OK,True
52,Al-Ḥaqq,78,Al-Wālī,2,-0.1049,-0.204,0.0301,OK,False
68,Al-Aḥad,7,Al-Mu'min,1,-0.1702,-0.2,-0.0103,OK,True
30,Al-'Adl,87,Al-Muqsiṭ,1,0.5078,0.4186,0.7332,OK,True
1,Allāh,18,Al-Razzāq,1,0.0611,0.0581,0.0734,OK,True
1,Allāh,102,Al-Rāziq,1,0.0611,0.0581,0.0734,OK,True
1,Allāh,55,Al-Matīn,1,-0.0764,-0.1627,0.0686,OK,True
18,Al-Razzāq,55,Al-Matīn,1,0.8625,0.7757,1.0,OK,True
102,Al-Rāziq,55,Al-Matīn,1,0.8625,0.7757,1.0,OK,True
3,Al-Raḥīm,80,Al-Barr,1,0.0449,0.0025,0.2437,OK,True
71,Al-Muqtadir,9,Al-'Azīz,1,0.2577,0.1799,0.4679,OK,True
74,Al-Awwal,77,Al-Bāṭin,1,0.4453,0.4235,0.5319,OK,True
20,Al-'Alīm,77,Al-Bāṭin,1,0.3702,0.3541,0.4441,OK,True
3,Al-Raḥīm,94,Al-Nūr,1,0.039,-0.006,0.2349,OK,True
74,Al-Awwal,91,Al-Māni',1,0.4453,0.4235,0.5353,OK,True
1,Allāh,91,Al-Māni',1,0.0611,0.0582,0.0739,OK,True
1,Allāh,5,Al-Quddūs,2,0.067,0.0587,0.0781,OK,False
4,Al-Malik,5,Al-Quddūs,2,0.5249,0.4612,0.6097,OK,False
4,Al-Malik,8,Al-Muhaymin,1,0.3926,0.3019,0.5587,OK,True
4,Al-Malik,9,Al-'Azīz,2,-0.0029,-0.1118,0.1487,OK,False
10,Al-Jabbār,4,Al-Malik,1,0.2357,0.1679,0.461,OK,True
11,Al-Mutakabbir,4,Al-Malik,1,0.2357,0.1696,0.461,OK,True
5,Al-Quddūs,7,Al-Mu'min,1,0.2577,0.1638,0.4019,OK,True
5,Al-Quddūs,8,Al-Muhaymin,1,0.8264,0.6889,1.0,OK,True
5,Al-Quddūs,9,Al-'Azīz,2,0.4722,0.415,0.5476,OK,False
10,Al-Jabbār,5,Al-Quddūs,1,0.6696,0.5623,0.895,OK,True
11,Al-Mutakabbir,5,Al-Quddūs,1,0.6696,0.5623,0.8841,OK,True
7,Al-Mu'min,8,Al-Muhaymin,1,0.2577,0.1689,0.4019,OK,True
10,Al-Jabbār,7,Al-Mu'min,1,0.1008,0.0371,0.3082,OK,True
11,Al-Mutakabbir,7,Al-Mu'min,1,0.1008,0.0378,0.3032,OK,True
8,Al-Muhaymin,9,Al-'Azīz,1,0.3445,0.255,0.5033,OK,True
10,Al-Jabbār,8,Al-Muhaymin,1,0.6696,0.5661,0.8888,OK,True
11,Al-Mutakabbir,8,Al-Muhaymin,1,0.6696,0.5661,0.8841,OK,True
