name_1_serial,name_2_serial,meccan_count,medinan_count,meccan_rate_per_1000v,medinan_rate_per_1000v,observed_differential,differential_p_value,significant_p05
1,47,16,38,14.1844,34.0197,19.8353,0.1773,False
56,57,1,0,0.8865,0.0,-0.8865,0.1936,False
1,18,1,0,0.8865,0.0,-0.8865,0.3676,False
10,8,0,1,0.0,0.8953,0.8953,0.0036,True
1,98,0,1,0.0,0.8953,0.8953,0.7088,False
32,4,1,0,0.8865,0.0,-0.8865,0.4387,False
1,45,1,0,0.8865,0.0,-0.8865,0.5974,False
43,89,1,0,0.8865,0.0,-0.8865,0.1113,False
1,104,1,0,0.8865,0.0,-0.8865,0.3719,False
20,75,1,0,0.8865,0.0,-0.8865,0.5468,False
1,57,6,5,5.3191,4.4763,-0.8429,0.7997,False
1,38,5,6,4.4326,5.3715,0.9389,0.6944,False
1,99,1,0,0.8865,0.0,-0.8865,0.6023,False
1,64,0,2,0.0,1.7905,1.7905,0.3228,False
1,54,2,6,1.773,5.3715,3.5985,0.1701,False
20,33,0,2,0.0,1.7905,1.7905,0.1119,False
33,36,0,1,0.0,0.8953,0.8953,0.0165,True
51,68,0,1,0.0,0.8953,0.8953,0.2075,False
1,16,5,0,4.4326,0.0,-4.4326,0.0062,True
1,87,0,3,0.0,2.6858,2.6858,0.3556,False
1,29,7,5,6.2057,4.4763,-1.7294,0.4813,False
3,84,0,4,0.0,3.581,3.581,0.0,True
108,47,1,0,0.8865,0.0,-0.8865,0.0701,False
27,28,6,3,5.3191,2.6858,-2.6334,0.0098,True
2,89,1,0,0.8865,0.0,-0.8865,0.2223,False
102,55,1,0,0.8865,0.0,-0.8865,0.0012,True
28,68,0,1,0.0,0.8953,0.8953,0.3867,False
1,31,2,2,1.773,1.7905,0.0175,0.8636,False
49,57,1,0,0.8865,0.0,-0.8865,0.02,True
20,47,10,17,8.8652,15.2193,6.3541,0.0058,True
68,81,0,1,0.0,0.8953,0.8953,0.1924,False
1,53,5,3,4.4326,2.6858,-1.7469,0.447,False
29,30,0,1,0.0,0.8953,0.8953,0.0598,False
68,75,0,1,0.0,0.8953,0.8953,0.1911,False
28,94,0,1,0.0,0.8953,0.8953,0.3027,False
33,99,1,0,0.8865,0.0,-0.8865,0.0048,True
1,27,9,22,7.9787,19.6956,11.7169,0.1795,False
29,56,0,1,0.0,0.8953,0.8953,0.1097,False
102,18,1,0,0.8865,0.0,-0.8865,0.0007,True
32,63,1,0,0.8865,0.0,-0.8865,0.2042,False
1,63,6,6,5.3191,5.3715,0.0524,0.9593,False
11,8,0,1,0.0,0.8953,0.8953,0.0017,True
1,28,7,22,6.2057,19.6956,13.4899,0.0265,True
44,51,0,1,0.0,0.8953,0.8953,0.0073,True
4,47,1,2,0.8865,1.7905,0.904,0.2982,False
1,34,10,37,8.8652,33.1244,24.2592,0.0048,True
20,38,0,1,0.0,0.8953,0.8953,0.4027,False
32,68,0,1,0.0,0.8953,0.8953,0.343,False
47,81,0,1,0.0,0.8953,0.8953,0.2513,False
19,20,1,0,0.8865,0.0,-0.8865,0.0286,True
11,5,0,1,0.0,0.8953,0.8953,0.0018,True
28,4,0,1,0.0,0.8953,0.8953,0.3191,False
32,94,0,1,0.0,0.8953,0.8953,0.2599,False
20,29,0,1,0.0,0.8953,0.8953,0.3526,False
30,56,1,0,0.8865,0.0,-0.8865,0.2268,False
14,47,0,1,0.0,0.8953,0.8953,0.0334,True
4,51,0,1,0.0,0.8953,0.8953,0.17,False
20,31,1,0,0.8865,0.0,-0.8865,0.2469,False
54,68,1,0,0.8865,0.0,-0.8865,0.2476,False
1,39,1,0,0.8865,0.0,-0.8865,0.9607,False
35,88,0,1,0.0,0.8953,0.8953,0.0928,False
10,5,0,1,0.0,0.8953,0.8953,0.0027,True
4,43,2,0,1.773,0.0,-1.773,0.0483,True
34,64,0,1,0.0,0.8953,0.8953,0.0726,False
20,27,11,21,9.7518,18.8004,9.0486,0.0,True
33,68,1,0,0.8865,0.0,-0.8865,0.2554,False
1,51,4,9,3.5461,8.0573,4.5112,0.2408,False
20,96,1,0,0.8865,0.0,-0.8865,0.1039,False
1,4,16,20,14.1844,17.9051,3.7207,0.4633,False
35,36,2,0,1.773,0.0,-1.773,0.0042,True
1,10,1,1,0.8865,0.8953,0.0087,0.9919,False
3,81,0,7,0.0,6.2668,6.2668,0.0,True
1,83,0,3,0.0,2.6858,2.6858,0.2251,False
68,87,0,1,0.0,0.8953,0.8953,0.0775,False
1,43,2,3,1.773,2.6858,0.9127,0.7118,False
3,88,0,1,0.0,0.8953,0.8953,0.1176,False
27,63,0,1,0.0,0.8953,0.8953,0.1521,False
47,57,1,0,0.8865,0.0,-0.8865,0.2966,False
31,32,3,2,2.6596,1.7905,-0.8691,0.0646,False
53,80,1,0,0.8865,0.0,-0.8865,0.0814,False
27,68,0,1,0.0,0.8953,0.8953,0.413,False
56,68,0,1,0.0,0.8953,0.8953,0.3089,False
1,35,9,41,7.9787,36.7055,28.7267,0.0004,True
57,94,1,0,0.8865,0.0,-0.8865,0.1225,False
20,39,1,0,0.8865,0.0,-0.8865,0.19,False
