serial,transliteration,jjk_v21,weighted_degree,degree_bootstrap_mean,degree_bootstrap_cov,degree_ci_lower,degree_ci_upper,stability_label,betweenness_centrality,closeness_centrality,dyadic_entropy_bits,unique_partners
81,Al-Tawwāb,Jamāl,19,18.885,0.5319,2,41,Unstable,0.003873,0.201662,1.9763,5
82,Al-Muntaqim,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
83,Al-'Afūw,Jamāl,6,6.009,0.7458,0,16,Unstable,0.0,0.114926,0.9183,2
84,Al-Ra'ūf,Jamāl,15,15.037,0.5256,2,32,Unstable,0.000272,0.200715,2.0226,5
85,Mālik al-Mulk,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
86,Dhū al-Jalāl wa'l-Ikrām,Disputed,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
87,Al-Muqsiṭ,Jalāl,5,5.031,0.6665,0,13,Unstable,0.0,0.196112,1.371,3
88,Al-Jāmi',Jalāl,5,4.969,0.663,0,13,Unstable,0.00099,0.202618,1.371,3
89,Al-Ghanī,Kamāl-ontological,31,30.605,0.6357,4,74,Unstable,0.004947,0.213762,1.9116,8
90,Al-Mughnī,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
91,Al-Māni',Jalāl,3,3.078,0.7304,0,8,Unstable,0.002082,0.181154,0.9183,2
92,Al-Ḍārr,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
93,Al-Nāfi',Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
94,Al-Nūr,Kamāl-epistemic (upgraded from Disputed — see rationale),40,40.219,0.6169,6,101,Unstable,0.021413,0.23362,2.0709,10
95,Al-Hādī,Jamāl,2,1.987,1.0078,0,6,Unstable,0.0,0.138357,0.0,1
96,Al-Badī',Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
97,Al-Bāqī,Kamāl-ontological,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
98,Al-Wārith,Kamāl-ontological,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
99,Al-Rashīd,Kamāl-epistemic,2,2.003,0.7136,0,5,Unstable,0.004651,0.194329,1.0,2
100,Al-Ṣabūr,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
101,Al-'Allām,Kamāl-epistemic,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
102,Al-Rāziq,Jamāl,2,1.968,0.7026,0,5,Unstable,0.0,0.176663,1.0,2
103,Al-Khallāq,Jalāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
104,Al-Kāfī,Jamāl,2,2.049,0.9928,0,6,Unstable,0.0,0.138357,0.0,1
105,Al-Shākir,Jamāl,4,4.031,0.7879,0,11,Unstable,0.0,0.175215,0.8113,2
106,Dhū al-Raḥma,Jamāl,0,0.0,inf,0,0,Unstable,0.0,0.0,0.0,0
